K,estimator,bias_squared,variance,mse,n_regions
2,direct,669.1178867145377,28337.365518451963,29006.483405166506,25
2,direct_holdout,2062.278273838122,102121.94950991673,104184.22778375485,5
2,ridge_holdout,20800.696034640023,877.177048869512,21677.87308350954,5
2,shrinkage_holdout,13958.0931098073,4564.453438205792,18522.546548013088,5
2,one_step,6629.629976698219,401.77120927696063,7031.40118597518,25
2,endpoint,,,,25
2,mean_compressed,,,,25
2,legacy_discounted,,,,25
4,direct,709.7779300243919,13758.47758981186,14468.255519836252,25
4,direct_holdout,2691.2570000878404,50526.51275404029,53217.76975412814,5
4,ridge_holdout,19439.085906393226,655.225233483584,20094.3111398768,5
4,shrinkage_holdout,7526.080926596936,6195.799339398559,13721.880265995496,5
4,one_step,6626.206764134692,143.09722636023238,6769.303990494925,25
4,endpoint,,,,25
4,mean_compressed,,,,25
4,legacy_discounted,,,,25
8,direct,700.6273366386608,4674.666167940126,5375.293504578786,25
8,direct_holdout,2269.976335534032,15273.02234382644,17542.99867936047,5
8,ridge_holdout,19027.8203063773,296.3904966490569,19324.210803026355,5
8,shrinkage_holdout,6785.512879141691,3866.203396657064,10651.716275798755,5
8,one_step,6642.643952361644,64.12984680862745,6706.77379917027,25
8,endpoint,,,,25
8,mean_compressed,,,,25
8,legacy_discounted,,,,25
16,direct,756.5555872153143,1668.8936264329311,2425.449213648246,25
16,direct_holdout,2748.0606551591272,5808.747790085149,8556.808445244276,5
16,ridge_holdout,19229.902190744797,95.41762368060527,19325.3198144254,5
16,shrinkage_holdout,5307.778657486456,2581.371514661241,7889.150172147698,5
16,one_step,6682.526858951475,21.66202969284664,6704.188888644321,25
16,endpoint,,,,25
16,mean_compressed,,,,25
16,legacy_discounted,,,,25
32,direct,715.234978483134,2.761189873116311e-28,715.234978483134,25
32,direct_holdout,2523.361382072925,5.6363796133679195e-28,2523.361382072925,5
32,ridge_holdout,19058.853732538373,4.4036866302078416e-27,19058.853732538373,5
32,shrinkage_holdout,3567.269969209124,5.843376714897914e-28,3567.269969209124,5
32,one_step,6680.650677666909,4.9771443320928257e-29,6680.650677666909,25
32,endpoint,41359.808251528026,5.530922163203079e-27,41359.808251528026,25
32,mean_compressed,7089.854049908293,9.205186348587779e-29,7089.854049908293,25
32,legacy_discounted,8482.759899104352,4.1510491921453815e-29,8482.759899104352,25
