K,estimator,repeat,pearson,spearman,kendall,top20_overlap,ndcg,normalized_rmse,normalized_mae,n
2,direct,49.5,0.42960864190404097,0.46952307692307693,0.33819999999999995,0.32,0.904508554908493,1.3432980594909423,0.3192707639920652,25.0
2,direct_holdout,49.5,0.36912390241161397,0.15899999999999997,0.11999999999999998,0.57,0.9178036197251109,1.5288516386916031,0.4706621885212279,5.0
2,endpoint,49.5,0.25937015192604507,0.28782021306866507,0.2042345928924876,0.40299999999999997,0.8966256609340408,2.6398549744328057,0.40844716836048883,17.77
2,legacy_discounted,49.5,0.4527883229419555,0.5009322491234256,0.3571205578047683,0.4741666666666666,0.917211376777059,2.1253949058273216,0.5684888461226191,17.77
2,mean_compressed,49.5,0.4009796385943597,0.41584410171871466,0.2945945160790362,0.4343333333333333,0.9116084749883556,1.7975492891358698,0.4521300142793716,17.77
2,one_step,49.5,0.5040745607433498,0.6200923076923077,0.4440666666666666,0.366,0.9077273498913653,1.3792790221291944,0.4272712359235323,25.0
2,ridge_holdout,49.5,-0.08450526275856912,-0.024129891760425775,-0.05432455532033675,0.01,0.8378696469795993,1.397250533004872,0.39937273661999817,5.0
2,shrinkage_holdout,49.5,0.16452968385290526,0.17999999999999997,0.12199999999999997,0.23,0.8766722298384354,1.2029937709572458,0.3490776171630418,5.0
4,direct,49.5,0.5689711610395688,0.6207076923076923,0.4603999999999999,0.376,0.9291502603120301,1.1540579342966801,0.27382117390589694,25.0
4,direct_holdout,49.5,0.6434916611271775,0.30099999999999993,0.22599999999999995,0.77,0.9534507840328988,1.3815024468659192,0.4296125227383025,5.0
4,endpoint,49.5,0.20462358669830613,0.39269700459723345,0.27825432157468766,0.42,0.8772852314369167,2.2349603612038127,0.43336751871243817,22.15
4,legacy_discounted,49.5,0.45407066971832416,0.6462572747618515,0.4749915143590201,0.5255,0.9018662588158218,1.7352742245261428,0.5629430508891801,22.15
4,mean_compressed,49.5,0.3878961514639083,0.5578670373105156,0.40356026825958174,0.466,0.8963097642051069,1.5006144417903924,0.45053939545192534,22.15
4,one_step,49.5,0.6568333814618955,0.7604307692307692,0.5608,0.41200000000000003,0.9311064323553794,1.3065284923518172,0.41514279767113543,25.0
4,ridge_holdout,49.5,-0.07265068319380123,0.03700000000000002,1.9984014443252817e-17,0.02,0.8449051633253828,1.2540977650298795,0.3415018755441466,5.0
4,shrinkage_holdout,49.5,0.3768059215191142,0.40099999999999997,0.314,0.42,0.9131669010686021,0.9505903664137157,0.27668093566524343,5.0
8,direct,49.5,0.6682072001777418,0.6673923076923077,0.5039999999999999,0.42,0.9462642280720914,0.8921993639480199,0.22644498084173714,25.0
8,direct_holdout,49.5,0.733498595842645,0.2809999999999999,0.19399999999999995,0.89,0.9644100985680821,1.0608822004212006,0.35413491306871775,5.0
8,endpoint,49.5,0.19053093934423068,0.4758934326543022,0.3412916243177112,0.376,0.8784182383997277,2.371672243646976,0.4941498500799313,24.1
8,legacy_discounted,49.5,0.5238956347293967,0.7310486556921338,0.5458909090909091,0.494,0.9076884100846866,1.684529315369123,0.5564798361889097,24.1
8,mean_compressed,49.5,0.4254282114702168,0.6506397124614516,0.47760666290231507,0.47200000000000003,0.8989082324964585,1.427012053664548,0.43583748187417226,24.1
8,one_step,49.5,0.7026709254695982,0.7926692307692308,0.5926666666666666,0.426,0.9380321984774099,1.2852985659898308,0.41052702281417497,25.0
8,ridge_holdout,49.5,-0.10589179286205389,0.07200000000000002,0.051999999999999984,0.0,0.847097008292423,1.1974683346709463,0.3089824862362091,5.0
8,shrinkage_holdout,49.5,0.5746440375264412,0.581,0.45199999999999996,0.55,0.937751927009024,0.7995700141503049,0.24257251906474045,5.0
16,direct,49.5,0.7873149461792778,0.6951,0.5262666666666665,0.512,0.9675761492260504,0.6690213287993397,0.1764457696766389,25.0
16,direct_holdout,49.5,0.8613612636605963,0.2779999999999999,0.16799999999999993,1.0,0.9783422232849286,0.8208210300504707,0.27993217777690504,5.0
16,endpoint,49.5,0.20337564146475567,0.500253177257525,0.3659217391304347,0.308,0.874918464542397,2.0753341301747543,0.49424813310427396,24.95
16,legacy_discounted,49.5,0.5907279294789377,0.7752311036789297,0.5804289855072463,0.47200000000000003,0.9152805205819413,1.638403637807467,0.5535341765600684,24.95
16,mean_compressed,49.5,0.4890993099759426,0.7134973244147157,0.5216376811594202,0.47600000000000003,0.9024133887335546,1.363051974575083,0.4192005214934121,24.95
16,one_step,49.5,0.7298783691007474,0.8071923076923077,0.6136666666666666,0.41200000000000003,0.9437646035013085,1.278603679565972,0.41044571836429783,25.0
16,ridge_holdout,49.5,-0.12115466427969032,0.08100000000000003,0.049999999999999975,0.0,0.8489972173334215,1.1892101228503034,0.3020887267531571,5.0
16,shrinkage_holdout,49.5,0.8384364813544954,0.7519999999999999,0.604,0.78,0.9746089576940768,0.7164802610178903,0.23473849204190567,5.0
32,direct,49.5,0.8954461136735358,0.7246153846153846,0.5599999999999998,0.6,0.987946896992726,0.4786099951784732,0.1332791976695275,25.0
32,direct_holdout,49.5,0.917929645444012,0.0999999999999999,0.0,1.0,0.9703751067624257,0.6183794553853038,0.21855682668840704,5.0
32,endpoint,49.5,0.22027557656393515,0.4930769230769231,0.37999999999999984,0.2,0.8734170725726672,1.9914815093642089,0.5204677520075603,25.0
32,legacy_discounted,49.5,0.6247103057532538,0.7923076923076923,0.5866666666666666,0.4,0.8973748321074383,1.6270448028878806,0.5532064671288462,25.0
32,mean_compressed,49.5,0.5162777564182034,0.7592307692307692,0.5733333333333333,0.4,0.9053970071172315,1.3319521881998195,0.4029796561426007,25.0
32,one_step,49.5,0.7462466170850266,0.81,0.6199999999999999,0.4,0.9472098480199936,1.2714426363420306,0.4091917074894937,25.0
32,ridge_holdout,49.5,-0.10738914644126803,0.3,0.1999999999999999,0.0,0.8576467718436711,1.1705444736380686,0.29507594511082286,5.0
32,shrinkage_holdout,49.5,0.9395461112670087,0.8,0.6,1.0,0.9983998791136992,0.5705031285381237,0.21164972678020036,5.0
